# initial position/orientation as X1,R1,X2,R2,Q1,Q2 (vector/quaternion)
# init: 0 0 0 1 2 0 0 1 0 0 1 0 0 0 1 0
# Times series of translational and angular velocities
# time  vx1  vy1  vz1   vx2  vy2  vz2 wx1 wy1 wz1 wx2 wy2 wz2
0.00    0.0  0.0  0.0  -0.1  0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.00    0.1  0.0  0.0  -0.1  0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.01    0.1  0.0  0.0  -0.1  0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.02    0.1  0.0  0.0  -0.1  0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.03    0.0  0.0  0.0   0.0  0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.04   -0.1  0.0  0.0   0.1  0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.05   -0.1  0.0  0.0   0.1  0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.06   -0.1  0.0  0.0   0.1  0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.07    0.0  0.0  0.0   0.0  0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.08    0.1  0.0  0.0  -0.1  0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.09    0.1  0.0  0.0  -0.1  0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.10    0.1  0.0  0.0  -0.1  0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0
